EDGG_R1D:Langen RUD:DE:49.8:9.5:1100
EDGG_PAH:Langen PAH:DE:51.6:7.8:1101
EDGG_P1H:Langen PAH:DE:51.6:7.8:1101
EDGG_SIG:Langen SIG:DE:51.6:7.8:1100
EDGG_S1G:Langen SIG:DE:51.6:7.8:1100
EDGG_TAU:Langen TAU:DE:51.6:7.8:1100
EDGG_T1U:Langen TAU:DE:51.6:7.8:1100
EDGG:Langen COMPLETE:DE:49.30:8.5:1102
EDMM:Munchen ALL:DE:49:11.5:1150
EDMM_A:Muenchen ALB:DE:49.24:10.97:1154
EDMM_E:Muenchen EGG:DE:48.87:12.94:1155
EDMM_B:Muenchen BBG:DE:50.14:11.23:1156
EDMM_G:Muenchen GER:DE:51.15:11.24:1160
EDMM_M:Muenchen MEI:DE:51.24:13.77:1158
EDMM_N:Muenchen NDG:DE:48.70:10.20:1153
EDMM_R:Muenchen RDG:DE:49.39:12.14:1121
EDMM_T:Muenchen TEG:DE:47.47:11.33:1163
EDMM_U:Muenchen TRU:DE:47.96:10.65:1164
EDMM_W:Muenchen WLD:DE:48.95:10.55:1159
EDMM_Z:Muenchen ZUG:DE:47.92:10:1162
EDUU_D:Rhein DON:DE:49.3:12.14:1121
EDUU_E:Rhein EAST:DE:53.91:12.50:1122
EDUU_FUL:Rhein FUL:DE:50.75:9.75:1123
EDUU_F1L:Rhein FUL:DE:50.75:9.75:1123
EDUU_FFM:Rhein FFM:DE:50.75:9.75:1123
EDUU_F1M:Rhein FFM:DE:50.75:9.75:1123
EDUU_L:Rhein ALP:DE:47.77:10.64:1125
EDUU_NTM:Rhein NTM:DE:49.5:7.75:1126
EDUU_N1M:Rhein NTM:DE:49.5:7.75:1126
EDUU_O:Rhein OSE+HVL:DE:53.75:12.50:1127
EDUU_H:Rhein HVL:DE:52.25:12.50:11271
EDUU_OSE:Rhein OSE:DE:53.75:12.50:11272
EDUU_O1E:Rhein OSE:DE:53.75:12.50:11272
EDUU_S:Rhein SAL:DE:49.9:11.45:1128
EDUU_SLN:Rhein SLN:DE:49.9:11.45:1128
EDUU_S1N:Rhein SLN:DE:49.9:11.45:1128
EDUU_TGO:Rhein TGO:DE:48.7:9:1129
EDUU_T1O:Rhein TGO:DE:48.7:9:1129
EDUU_WUR:Rhein WUR:DE:50:9.3:1130
EDUU_W1R:Rhein WUR:DE:50:9.3:1130
EDWW:Bremen:DE:53.0:10.2:1000
EDWW_A:Bremen:DE:53.2:8.8:106
EDWW_B:Bremen:DE:52.31:12.50:101
EDWW_M:Bremen:DE:52.31:12.50:101
EDYY_C:Maastricht CEL:NL:52.6:9.6:1010
EDYY_D:Maastricht DEL:NL:52.5:4.5:1011
EDYY_H:Maastricht HOL:NL:54.0:9.75:1012
EDYY_J:Maastricht JEV:NL:54.0:6.0:1013
EDYY_K:Maastricht KOK:NL:51.15:2.85:1014
EDYY_L:Maastricht LUX:NL:49.9:5.4:1015
EDYY_M:Maastricht HMM:NL:52.1:7.3:1016
EDYY_N:Maastricht NIK:NL:50.8:4.3:1017
EDYY_O:Maastricht OLN:NL:50.6:5.8:1018
EDYY_R:Maastricht RUH:NL:51.4:6.6:1019
EDYY_S:Maastricht SOL:NL:51.7:9.4:1020
EETT:Tallinn:EE:58.7:24.4:118
EFIN:Helsinki:FI:61.8:25.3:119
EGGX:Shanwick Oceanic:GB:53:-25:914
NAT:Gander+Shanwick combined:CA:55:-30:915
EGTT:London ACC(Central):GB:52.8:-2:900
LON:London ACC(Central):GB:52.5:-2:900
EGTT-C:London ACC(Central):GB:52.4:0.5:901
LON_C:London ACC(Central):GB:52.1:0.5:901
LON_E:London ACC(Central):GB:52.7:0.5:901
LTC_N:London ACC(Central):GB:52.1:0.5:901
LTC_NW:London ACC(Central):GB:52.1:0.5:901
EGTT-N:London ACC(North):GB:53.7:-1:902
LON_N:London ACC(North):GB:53.4:-1:902
EGTT-S:London ACC(South):GB:50.75:-1:903
LON_S:London ACC(South):GB:50.45:-1:903
LON_D:London ACC(South):GB:50.75:-1:903
LTC_S:London ACC(South):GB:50.75:-1:903
LTC_SE:London ACC(South):GB:50.75:-1:903
LTC_SW:London ACC(South):GB:50.75:-1:903
EGTT-SC:London ACC(S-Central):GB:51.75:0.15:904
LON_SC:London ACC(S-Central):GB:51.45:0.15:904
EGTL:London Terminal Control:GB:51.4:-0.46:905
LTC:London TerminalControl:GB:51.1:-0.46:905
EGTT-W:London ACC(West):GB:51:-5.5:906
LON_W:London ACC(West):GB:50.7:-5.5:906
EGTM:Manchester TMA(<FL285):GB:53.5:-2.75:907
MAN:Manchester TMA(<FL285):GB:53.2:-3.5:907
EGPX:Scottish:GB:57.4:-2.5:908
SCO:Scottish:GB:57.1:-2.5:908
EGPX-D:Scottish:GB:55.5:-4.5:909
SCO_D:Scottish:GB:55.2:-4.5:909
STC:Scottish TMA(<FL255):GB:55.0:-4.5:909
STC_W:Scottish TMA(<FL255):GB:55.5:-4.5:909
STC_E:Scottish TMA(<FL255):GB:56.0:-4.5:909
EGPX-E:Scottish ACC(East):GB:57:-2.5:910
SCO_E:Scottish ACC(East):GB:56.7:-2.5:910
SCO_N:Scottish ACC(East):GB:57:-2.5:910
SCO_S:Scottish ACC(East):GB:57:-2.5:910
EGPX-WD:Scottish ACC(W/Dean Cross):GB:55.8:-9.5:911
SCO_WD:Scottish ACC(W/Dean Cross):GB:55.5:-9.5:911
EGPX-W:Scottish ACC(West):GB:57.3:-8.75:912
SCO_W:Scottish ACC(West):GB:57:-8.75:912
EGPX-R:Scottish ACC(Rathlin):GB:54.75:-7:913
SCO_R:Scottish ACC(Rathlin):GB:54.45:-7:913
STC_A:Scottish ACC(Antrim):GB:54.75:-7:913
EHAA:Amsterdam:NL:52.8:4.6:138
EHMC:DutchMill:NL:52.8:4.6:138
EHML:Bandbox:NL:52.8:4.6:138
EIDW:Dublin:IE:53.5:-6.7:916
EISN:Shannon:IE:53.2:-10.3:917
EKDK:Copenhagen:DK:56.4:10:140
ENBD:Bodo:NO:67.5:11.5:141
ENBD_S:Bodo South:NO:63:7:142
ENOB:Bodo Oceanic:NO:72.5:15.2:1410
ENOR:Norway:NO:65.15:8:143
ENOR_S:Norway South:NO:59.5:9.7:1431
ENOS:Oslo:NO:59.5:9.4:144
ENSV:Stavanger:NO:60:4:145
EPWW:Warsaw:PL:52.4:20.7:146
ESMM:Sweden Malmo:SE:57.4:15:147
ESOS:Sweden:SE:62.1:16.7:148
EURE:Eurocontrol East:HU:46:23:524
EURI:Eurocontrol Islands:GB:57:-5:5537
EURM-W:Maastricht West:NL:51.50:6.50:5211
EURM-E:Maastricht East:NL:50:13.50:5212
EURN:Eurocontrol North:SE:59:16:525
EURS:Eurocontrol South:IT:38:20:523
EURW-N:Eurocontrol West North:FR:47:1:5221
EURW-S:Eurocontrol West South:ES:41:-7:5222
EVRR:Riga:LV:57:23.3:150
EYVL:Vilnius:LT:55.1:22.4:151
FACA:Cape Town:ZA:-34.0:20.0:6741
FACA_E:Cape Town:ZA:-33.6:25.7:6742
FACA_W:Cape Town:ZA:-34:17.7:6743
FAJA:Johannesburg:ZA:-27.6:28:6746
FAJA_C:Johannesburg:ZA:-30.2:23.4:6749
FAJA_E:Johannesburg:ZA:-30:29.5:6745
FAJA_N:Johannesburg:ZA:-24.3:28.6:6747
FAJA_S:Johannesburg:ZA:-27.1:27.9:6748
FAJA_W:Johannesburg:ZA:-29:18:6744
FAJO:Johannesburg Oceanic:ZA:-39:32.5:6740
FASA:South Africa:ZA:-30.2:23.4:6750
FBGR:Gaborone:BW:-22.2:24.6:226
FCCC:Brazzaville:CG:1.2:12:227
FCCC_D:Brazzaville:CG:4.3:9.7:4507
FCCC_L:Brazzaville:CG:0.7:7.6:4506
FIMM:Mauritius:MU:-25.5:65.2:228
FLFI:Lusaka:ZM:-13.1:27.8:229
FMMM:Antananarivo:MG:-20:48.5:230
FNAN:Luanda:AO:-12.1:7.1:231
FQBE:Beira:MZ:-20.3:36.6:232
FSSS:Seychelles:SC:0.1:52:233
FTTT:NDjamena:TD:15:18.2:234
