010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
284190        JANAUL              RA 5616N 05454E 0099   
284210        BARDA               RA 5655N 05536E 0133   
284280        CERNUSKA            RA 5630N 05608E 0142   
284290        OKTJABRSKI          RA 5631N 05712E 0229   
284300        REVDA               RA 5649N 05957E 0325   
284320        BISERT              RA 5652N 05904E 0303   
284340        KRASNOUFIMSK        RA 5637N 05745E 0207   
284380        ARTI                RA 5626N 05833E 0305   
284400 USSS   SVERDLOVSK          RA 5648N 06038E 0237   
284430        BOGDANOVICH         RA 5647N 06204E 0159   
284450        VERHNEE DUBROVO     RA 5644N 06104E 0290   
284480        SYSERT              RA 5631N 06050E 0266   
284490        KAMENSK-URALSKIJ    RA 5626N 06152E 0168   
284510        KAMYSLOV            RA 5651N 06243E 0126   
284550        BUTKA               RA 5643N 06346E 0121   
284560        SATROVO             RA 5632N 06441E 0113   
284570        KATAJSK             RA 5618N 06236E 0152   
284650        JALUTOROVSK         RA 5641N 06621E 0060   
284780        GOLYSMANOVO         RA 5623N 06823E 0122   
284810        VIKULOVO            RA 5649N 07037E 0070   
284910        BOL'SIE-UKI         RA 5656N 07240E 0087   
284930        TARA                RA 5654N 07423E 0074   
284980        NIZNE-KOLOSOVSKOE   RA 5627N 07339E 0095   
285020        VJATSKIE POLJANY    RA 5614N 05102E 0069   
285060        ELABUGA             RA 5546N 05204E 0192   
285170        MENZELINSK          RA 5538N 05305E 0121   
285220        ASKINO              RA 5605N 05635E 0168   
285260        KARAIDELSKI         RA 5549N 05705E 0200   
285330        NJAZEPETROVSK       RA 5603N 05935E 0320   
285350        KARLJHANOVO         RA 5557N 05840E 0231   
285370        DUVAN               RA 5542N 05754E 0326   
285410        UFALEJ              RA 5605N 06018E 0401   
285480        ARGAJAS             RA 5531N 06055E 0254   
285490        BRODOKALMAK         RA 5535N 06204E 0158   
285520        SADRINSK            RA 5605N 06338E 0081   
285610        TEBENJAKSKOE        RA 5610N 06527E 0061   
285660        MOKROUSOVO          RA 5549N 06647E 0115   
285730        ISIM                RA 5606N 06926E 0083   
285810        KAMJSENKA           RA 5609N 07039E 0122   
285860        TJUKALINSK          RA 5552N 07212E 0120   
285870        SLADKOV             RA 5532N 07019E 0134   
285880        NAZYVOEVSK          RA 5534N 07122E 0129   
285930        BOL'SEREC'E         RA 5606N 07438E 0078   
285980        SARGATSKOE          RA 5536N 07329E 0087   
286010        CISTOPOL            RA 5521N 05037E 0113   
286110        MUSLJUMOVO          RA 5519N 05312E 0079   
286130        DYURTYULI           RA 5529N 05452E 0155   
286150        BAKALY              RA 5511N 05348E 0126   
286210        BIRSK               RA 5525N 05532E 0187   
286220        STARONADEZDINO      RA 5519N 05625E 0129   
286290        ULU-TELJAK          RA 5454N 05657E 0119   
286300        ZLATOUST            RA 5510N 05940E 0457   
286330        TAGANAJ GORA (MTN)  RA 5522N 05955E 1102   
286370        KROPACEVO           RA 5500N 05759E 0415   
286420        CELJABINSK          RA 5518N 06132E 0227   
286550        SUMIHA              RA 5514N 06319E 0176   
286590        KURTAMYS            RA 5455N 06426E 0127   
286610        KURGAN              RA 5528N 06524E 0079   
286620        LEBJAZJE            RA 5516N 06630E 0135   
286660        MAKUSINO            RA 5515N 06718E 0143   
286680        POLOVINNOE          RA 5446N 06600E 0152   
286740        PETUHOVO            RA 5506N 06758E 0136   
286790        PETROPAVLOVSK       RA 5450N 06909E 0136   
286880        ISILKUL             RA 5454N 07116E 0128   
286960        KALACINSK           RA 5502N 07435E 0107   
286980        OMSK                RA 5456N 07324E 0123   
287040        CULPANOVO           RA 5430N 05025E 0080   
287050        CELNO-VERSINY       RA 5425N 05106E 0152   
287100        RAJEVSKY            RA 5405N 05455E 0120   
287110        BUGULMA             RA 5435N 05248E 0312   
287120        TUIMAZY             RA 5435N 05344E 0126   
287130        BUZDYAK             RA 5434N 05431E 0171   
287190        AKSAKOVO            RA 5402N 05411E 0348   
287220        UFA                 RA 5445N 05600E 0105   
287260        ARHANGELSKOJE       RA 5424N 05648E 0168   
287410        MIRNII              RA 5433N 06018E 0319   
287470        PETROPAVLOVSKIJ ZER RA 5401N 06007E 0314   
287480        TROICK              RA 5406N 06135E 0193   
287520        POLOVINNOJE         RA 5442N 06350E 0217   
287540        OKTJABRSKI          RA 5424N 06244E 0168   
287560        ZVERINOGOLOVSKAJA   RA 5428N 06452E 0117   
287660        BLAGOVESCENSKOE     RA 5422N 06700E 0153   
287850        VOZVISHEN SOVKHOZ   RA 5426N 07055E 0127   
287860        POLTAVKA            RA 5422N 07145E 0124   
287910        BORISOVSKIJ ZERNOSO RA 5437N 07235E 0109   
287970        ODESSKOE            RA 5412N 07258E 0125   
287980        PAVLOGRADKA         RA 5412N 07333E 0125   
287990        CERLAK              RA 5410N 07448E 0115   
288010        KRASNOE POSELEN'E   RA 5358N 05022E 0062   
288060        BUGURUSLAN          RA 5338N 05225E 0087   
288230        TUKAN               RA 5350N 05731E 0548   
288250        STERLITAMAK         RA 5337N 05559E 0130   
288310        BELORECK            RA 5356N 05820E 0565   
288330        VERHNEURALSK        RA 5352N 05912E 0423   
288380        MAGNITOGORSK        RA 5321N 05905E 0382   
288670        URICK               RA 5319N 06533E 0210   
288730        KRASNOARMEJSK       RA 5350N 06947E 0153   
288770        VOLODARSKOE         RA 5319N 06806E 0319   
288790        KOKCETAV            RA 5317N 06921E 0229   
288860        KZIL-TUS SOVKHOZ    RA 5338N 07222E 0138   
288950        RUSSKAJA POLIANA    RA 5347N 07353E 0125   
289000 UWWW   KUJBYSEV/BEZENCUK   RA 5315N 05027E 0044   
289090        BUZULUKSKAJA        RA 5245N 05217E 0080   
289160        SARLYK              RA 5255N 05443E 0183   
289250        MELEUZ              RA 5257N 05558E 0179   
289270        JERMOLAJEVO         RA 5243N 05548E 0247   
289380        KIZILSKOJE          RA 5244N 05854E 0316   
289390        KALININSK           RA 5230N 05942E 0381   
289410        KARTALY             RA 5303N 06040E 0300   
289520        KUSTANAJ            RA 5313N 06337E 0156   
289570        TOBOL               RA 5241N 06236E 0208   
289660        RUZAJEVKA           RA 5249N 06658E 0227   
289780        BALKASINO           RA 5232N 06845E 0399   
289840        SCUCINSK            RA 5257N 07013E 0384   
289860        ZOLOTAJA NIVA       RA 5258N 07156E 0196   
289930        GOLUBOVKA           RA 5309N 07412E 0126   
290230        NAPAS               RA 5956N 08159E 0076   
290370        BEREZOVKA           RA 5923N 08250E 0068   
290680        NAZIMOVO            RA 5930N 09101E 0064   
291030        KATYLGA             RA 5904N 07644E 0070   
291110        SREDNY VASJUGAN     RA 5913N 07814E 0069   
291220        KARGASOK            RA 5903N 08057E 0063   
291280        PARABEL'            RA 5842N 08130E 0063   
291490        MAKSIMKIN JAR       RA 5838N 08643E 0105   
292030        KUNTIKI             RA 5827N 07625E 0081   
292090        MAJSK               RA 5747N 07717E 0100   
292240        STARICA             RA 5808N 08035E 0080   
292310        KOLPASEV            RA 5818N 08253E 0076   
292410        PALOCKA             RA 5823N 08436E 0081   
292470        BATURINO            RA 5745N 08512E 0090   
292530        LOSINOBORSK         RA 5826N 08922E 0142   
292630 UNII   JENISEJSK           RA 5827N 09209E 0078   
292740        STRELKA             RA 5805N 09300E 0089   
292760        MOLYGINO            RA 5812N 09445E 0161   
292820        BOGUCANY            RA 5825N 09724E 0134   
292890        GONDA               RA 5751N 09724E 0378   
293130        PUDINO              RA 5732N 07922E 0093   
293280        BAKCHAR             RA 5705N 08155E 0107   
293320        MOLCHANOVO          RA 5735N 08347E 0114   
293480        PERVOMAJSKOE        RA 5704N 08613E 0115   
293550        TUTALO-CULYM RIVER  RA 5727N 08828E 0140   
293630        PIROVSKOE           RA 5738N 09216E 0184   
293670        BIRILIUSSY          RA 5708N 09042E 0182   
293790        TASEJEVA RIVER      RA 5712N 09453E 0147   
293930        CERVYANKA           RA 5740N 09934E 0220   
294010        SEDELNIKOVO         RA 5657N 07518E 0090   
294050        KYSTOVKA            RA 5634N 07638E 0090   
294070        MUROMCEVO           RA 5623N 07515E 0087   
294180        SEVERNOE            RA 5621N 07821E 0126   
294300        TOMSK               RA 5626N 08558E 0174   
294560        TJUHTET             RA 5632N 08919E 0205   
294640        BOLSOJ ULUJ         RA 5639N 09033E 0196   
294670        ACINSK              RA 5617N 09030E 0272   
294710        BOLSAJA MURTA       RA 5655N 09308E 0181   
294770        SUHOBUZIMSKOE       RA 5630N 09317E 0159   
294810        DZERZINSKOE         RA 5651N 09513E 0188   
294980        SITKINO             RA 5622N 09822E 0220   
295240        KRESCENKA           RA 5551N 08002E 0130   
295320        KOZEVNIKOVO         RA 5615N 08400E 0114   
295340        PIHTOVKA            RA 5559N 08242E 0127   
295390        BOLOTNOE            RA 5540N 08424E 0201   
295400        ANZERO-SUDZENSK     RA 5607N 08600E 0259   
295410        TAJGA               RA 5604N 08537E 0250   
295480        BARZAS              RA 5543N 08618E 0208   
295510        MARIINSK            RA 5612N 08745E 0134   
295520        TJAZIN              RA 5607N 08831E 0221   
295530        BOGOTOL             RA 5614N 08935E 0291   
295570        TISUL               RA 5545N 08819E 0212   
295620        KEMCUG              RA 5606N 09140E 0330   
295630        KACA                RA 5607N 09212E 0468   
295720        EMEL'JANOVO         RA 5611N 09237E 0296   
295740 UNKK   KRASNOJARSK         RA 5600N 09253E 0277   
295760        UJAR                RA 5548N 09420E 0343   
295780        SALINSKOE           RA 5543N 09344E 0377   
295810        KANSK               RA 5612N 09541E 0204   
295870        IRBEJSKOE           RA 5538N 09528E 0251   
295900        NOVOCUNSKOE         RA 5609N 09918E 0265   
295940        TAJSET              RA 5557N 09800E 0302   
296020        CANY                RA 5517N 07646E 0113   
296050        TATARSK             RA 5512N 07558E 0112   
296120        BARABINSK           RA 5522N 07822E 0120   
296130        UBINSKOE            RA 5518N 07937E 0138   
296250        CULYM               RA 5506N 08058E 0139   
296260        KOCENEVO            RA 5502N 08211E 0160   
296310        KOLYVAN             RA 5518N 08245E 0140   
296320        MOSKOVO             RA 5518N 08336E 0215   
296340 UNNN   NOVOSIBIRSK/TOLMACH RA 5502N 08254E 0177   
296360        TOGUCIN             RA 5514N 08424E 0171   
296420        KEMEROVO            RA 5523N 08604E 0262   
296490        KRAPIVINO           RA 5500N 08648E 0153   
296530        UZUR                RA 5518N 08949E 0383   
296540        CENTRALNYJ RUDNIK   RA 5513N 08739E 0494   
296620        BALAHTA             RA 5523N 09136E 0303   
296640        SVETLOLOBOVO        RA 5506N 09050E 0329   
296750        KOLBA               RA 5507N 09320E 0477   
296760        AGINSKOE            RA 5515N 09453E 0336   
296980 UINN   NIZNE-UDINSK        RA 5453N 09902E 0410   
297010        LJUBIMOVKA          RA 5440N 07506E 0111   
297020        CISTOOZERNOJE       RA 5443N 07643E 0111   
297060        KUPINO              RA 5422N 07717E 0116   
297120        ZDVINSK             RA 5442N 07840E 0112   
297220        UZANIHA             RA 5440N 08103E 0175   
297240        KOCKI               RA 5418N 08030E 0166   
297260        ORDYNSKOE           RA 5422N 08157E 0135   
297350        POSEVNAJA           RA 5418N 08323E 0294   
297360        MASLJANINO          RA 5420N 08413E 0198   
297450        GURJEVSK            RA 5420N 08600E 0225   
297520        NENASTNAJA(MTN STN) RA 5445N 08849E 1178   
297560        SIRA                RA 5430N 08956E 0468   
297590        KOMMUNAR            RA 5420N 08917E 0846   
297660        IDRINSKOE           RA 5422N 09208E 0281   
297720        ARTEMOVSK           RA 5423N 09330E 0473   
297890        VERHNJAJA GUTARA    RA 5413N 09658E 0984   
297940        BIRJUSA             RA 5423N 09747E 0802   
298020        MIHAJLOVKA          RA 5349N 07632E 0114   
298070        IRTYSSK             RA 5321N 07527E 0094   
298130        KRASNOOZERSK        RA 5358N 07914E 0143   
298140        KARASUK             RA 5342N 07804E 0113   
298160        HABARY              RA 5337N 07933E 0138   
298220        KAMEN-ON-OB RIVER   RA 5348N 08120E 0130   
298270        BAEVO               RA 5316N 08046E 0123   
298320        TALMENKA            RA 5349N 08355E 0142   
298360        SOROKINO            RA 5345N 08457E 0221   
298370        SELABOLIHA          RA 5324N 08236E 0170   
298380 UNBB   BARNAUL             RA 5324N 08342E 0252   
298460 UNCE   NOVOKUZNETSK        RA 5344N 08711E 0308   
298480        TOGUL               RA 5328N 08555E 0270   
298490        KUZODEEVO           RA 5320N 08710E 0291   
298540        MEZDURECENSK        RA 5341N 08803E 0242   
298550        TEBA                RA 5338N 08834E 0304   
298580        NEOZIDANNIJ PRIISK  RA 5317N 08910E 0527   
298620        HAKASSKATA          RA 5346N 09119E 0256   
298640        UYBAT               RA 5343N 09022E 0525   
298650 UNKA   ABAKAN              RA 5345N 09124E 0245   
298690        JERMAKOVSKOE        RA 5318N 09225E 0301   
298700        KURAGINO            RA 5353N 09240E 0284   
298760        PONOMAROVO          RA 5343N 09409E 0445   
298920        HADAMA              RA 5357N 09849E 0704   
298940        ALYGDZER            RA 5338N 09813E 0918   
299150        SLAVGOROD           RA 5358N 07839E 0125   
299230        REBRIHA             RA 5304N 08218E 0214   
299370        ALEJSKAJA           RA 5231N 08246E 0174   
299390        BIJSK ZONAL'NAJA    RA 5241N 08457E 0224   
299460        KONDOMA             RA 5252N 08717E 0354   
299550        UST-KABIRZA         RA 5249N 08827E 0416   
299560        TASTYP              RA 5248N 08953E 0455   
299620        BEJA                RA 5303N 09055E 0448   
299730        VERHNI AMIL         RA 5308N 09428E 0765   
299740        OLEN'JA RECKA       RA 5253N 09301E 1404   
299990        ORLIK (MTN STN)     RA 5230N 09949E 1570   
300140        CEMDALSK            RA 5945N 10318E 0277   
300280        IKA                 RA 5917N 10610E 0352   
300370        NEPA                RA 5915N 10814E 0323   
300540        VITIM               RA 5927N 11235E 0193   
300740        MACA                RA 5954N 11735E 0162   
300890        JIKIMDA             RA 5902N 12145E 0170   
301020        KEZMA               RA 5858N 10105E 0185   
301170        UST-ILIMSK          RA 5802N 10244E 0402   
301270        TOKMA               RA 5816N 10551E 0435   
301380        CECUJSK             RA 5806N 10841E 0246   
301420        VIZIRNYJ            RA 5844N 11114E 0220   
301510        VORONCOVKA          RA 5851N 11254E 0201   
301570        MAMA                RA 5819N 11252E 0224   
301650        SVETLI              RA 5834N 11600E 0422   
301730        TJANJA              RA 5903N 11948E 0190   
302190        MAKSIMOVO           RA 5706N 10500E 0354   
302290        VERHNE-MARKOVO      RA 5720N 10704E 0271   
302300 UIKK   KIRENSK             RA 5746N 10804E 0258   
302460        GORNO-CUJSKI        RA 5740N 11140E 0332   
302530 UIKB   BODAJBO             RA 5751N 11412E 0278   
302550        MAMAKAN             RA 5748N 11405E 0532   
302630        NICATKA             RA 5750N 11740E 0562   
303090        BRATSK              RA 5604N 10150E 0489   
303170        ZAJARSK             RA 5612N 10250E 0427   
303200        UST-KUT             RA 5648N 10548E 0672   
303280        ORLINGA             RA 5603N 10550E 0338   
303370        KAZACHENGKOYE       RA 5617N 10734E 0357   
303560        ULON-MAKIT          RA 5622N 11438E 0516   
303640        MUJA                RA 5630N 11540E 0474   
303720        CARA                RA 5655N 11822E 0711   
303740        BOLSAJA-LEPRINDA    RA 5639N 11734E 1000   
303790        KATUGINO            RA 5600N 11927E 0996   
303850        UST-NJUKZA          RA 5635N 12129E 0426   
303930 UELL   CULMAN/NERIUGRI     RA 5650N 12452E 0859   
304050        TANGUJ              RA 5523N 10058E 0425   
304060        ARTUMEJ             RA 5537N 10219E 0448   
304130        JASACNAJA           RA 5550N 10414E 0331   
304240        GOLOVSKOE           RA 5529N 10529E 0172   
304320        GOUJOKIT            RA 5543N 10904E 0676   
304330        NIZNEANGARSK        RA 5547N 10933E 0475   
304370        KARAM               RA 5509N 10737E 0497   
304390        TOMPA               RA 5507N 10945E 0458   
304550        UAKIT (MTN STN)     RA 5528N 11338E 1097   
304570        BAUNT (MTN STN)     RA 5516N 11308E 1089   
304610        TILISMA             RA 5548N 11526E 0830   
304690        KALAKAN             RA 5507N 11645E 0613   
304710        SRDNIJKALAR MTN STN RA 5555N 11732E 0754   
304840        SREDNJAJA OLEKMA    RA 5526N 12040E 0531   
304930        NAGORNYJ            RA 5558N 12453E 0864   
304970        UST-URKIMA          RA 5518N 12310E 0522   
304990        TYNDA               RA 5511N 12440E 0531   
305040        TULUN               RA 5436N 10038E 0522   
305070        IKEJ                RA 5411N 10005E 0527   
305140        UST-UDA             RA 5425N 10315E 0420   
305210        ZIGALOVO            RA 5448N 10513E 0428   
305260        TIRKA               RA 5430N 10708E 0650   
305360        DAVSA               RA 5421N 10931E 0469   
305370        SOLNETCHNAYA        RA 5402N 10816E 0465   
305420        TASSA               RA 5451N 11109E 0563   
305470        KURUMKAN            RA 5419N 11019E 0509   
305490        KARAFTIT (MTN STN)  RA 5412N 11157E 1302   
305540        BOGDARIN            RA 5437N 11308E 0995   
305650        UST-KARENGA         RA 5427N 11631E 0686   
305670        BUGARIHTA           RA 5403N 11501E 0738   
305760        TUPIK               RA 5426N 11954E 0644   
305970        URUSA               RA 5402N 12254E 0454   
306030        ZIMA                RA 5356N 10203E 0458   
306050        SARAM               RA 5320N 10111E 0600   
306060        ZALARI              RA 5336N 10232E 0450   
306120        BALAGANSK           RA 5343N 10320E 0429   
306170        CEREMHOVO           RA 5310N 10305E 0598   
306180        BOHAN               RA 5308N 10346E 0446   
306200        SARMA               RA 5306N 10649E 0464   
306220        KACUG               RA 5358N 10552E 0533   
306270        BAJANDAJ            RA 5306N 10532E 0761   
306320        BOLSOJ USKAN ISLAND RA 5351N 10836E 0460   
306350        UST-BARGUZIN        RA 5425N 10901E 0457   
306360        BARGUZIN            RA 5337N 10938E 0486   
306370        HUZIR               RA 5312N 10720E 0462   
306380        MAKSIMIHA           RA 5316N 10845E 0475   
306490        UST-ZAZA            RA 5311N 11143E 0973   
306500        ROMANOVKA           RA 5313N 11246E 0923   
306510        BOLSOJ AMALAT       RA 5355N 11325E 0935   
306550        INGUR               RA 5335N 11346E 0810   
306570        POLIVTSEVO          RA 5317N 11247E 1203   
306640        TUNGOKOCEN          RA 5334N 11534E 0812   
306670        KIKER               RA 5310N 11550E 0596   
306690        ZILOVO              RA 5304N 11729E 0707   
306730        MOGOCA              RA 5344N 11947E 0619   
306750        KSEN'EVSKAJA        RA 5332N 11843E 0582   
306790        GORBICA             RA 5306N 11913E 0388   
306820        AMAZAR              RA 5352N 12053E 0473   
306830        JEROFEJ PAVLOVIC    RA 5358N 12156E 0524   
306860        IGNASINO            RA 5328N 12224E 0295   
306880        POKROVKA            RA 5320N 12133E 0315   
306920        SKOVORODINO         RA 5400N 12358E 0400   
306950        DZALINDA            RA 5328N 12354E 0267   
307030        INGA                RA 5258N 10159E 0543   
307080        ILCIR               RA 5203N 10104E 2083   
307100 UIII   IRKUTSK             RA 5216N 10421E 0513   
307120        USOLJE-SIBIRSKOJE   RA 5247N 10338E 0445   
307130 UIIO   UST-ORDYNSKIJ       RA 5249N 10446E 0525   
307140        KHEYTA-IN-IRKUT     RA 5233N 10303E 0759   
307150        ANGARSK             RA 5229N 10351E 0450   
307260        SUHAJA              RA 5234N 10708E 0461   
307270        BOLSOJE-GOLOUSTNOJ  RA 5202N 10524E 0461   
307290        KABANSK             RA 5203N 10639E 0469   
307310        GORJACINSK          RA 5259N 10817E 0486   
307390 UIUH   HORINSK             RA 5210N 10946E 0666   
307410        ZAMOKTA (MTN STN)   RA 5256N 11029E 1292   
307450        SOSNOVO-OZERSK      RA 5232N 11133E 0952   
307510        TELEMBA             RA 5244N 11316E 0929   
307570        BEKLEMISEVO         RA 5207N 11240E 0968   
307580 UIAA   CITA/KADALA         RA 5201N 11320E 0685   
307640        USUGLI              RA 5239N 11510E 0646   
307650        ZJUL'ZJA            RA 5233N 11612E 0526   
307660        CHERNYSHEVSK        RA 5232N 11700E 0539   
307680        NERCINSK            RA 5202N 11631E 0479   
307720        UST-KARA            RA 5242N 11848E 0404   
307770        SRETENSK            RA 5216N 11742E 0528   
307810        URJUPINO            RA 5245N 12002E 0370   
308020        MONDY (MTN STN)     RA 5141N 10059E 1303   
308030        BAGO-GORHON         RA 5142N 10227E 0889   
308060        KYREN               RA 5141N 10210E 0758   
308110        TUNKA               RA 5144N 10232E 0722   
308120        SLJUDJANKA          RA 5139N 10340E 0471   
308140        KULTUK              RA 5144N 10342E 0472   
308150        HAMAR-DABAN         RA 5132N 10336E 1442   
308180        UNKNOWN             RA 5110N 10340E 0481   
308220        BABUSKIN            RA 5143N 10552E 0469   
308230 UIUU   ULAN-UDE/MUHINO     RA 5148N 10726E 0510   
308240        TANHOJ              RA 5134N 10507E 0470   
308290        NOVO-SELENGINSK     RA 5106N 10639E 0559   
308370        MUHORSIBIR          RA 5101N 10750E 0733   
308380        PETROVSKIJ ZAVOD    RA 5119N 10851E 0800   
308430        MOGZON              RA 5144N 11158E 0902   
308440        HILOK               RA 5121N 11030E 0808   
308450        HARAGUN             RA 5133N 11110E 0858   
308460        ULETY               RA 5121N 11229E 0741   
308490        NIKOLAJEVSKOE       RA 5103N 11146E 0817   
308510        TURGUTUJ (MTN STN)  RA 5151N 11238E 1030   
308530        KARYMSKAJA          RA 5137N 11420E 0616   
308560        SEDLOVAJA           RA 5129N 11433E 0881   
308580        KUROT-DARASUA       RA 5112N 11343E 0805   
308590        AGINSKOE            RA 5107N 11433E 0678   
308620        SILKA               RA 5151N 11601E 0597   
308660        BALEJ               RA 5135N 11638E 0649   
308740        SELOPUGINO          RA 5139N 11734E 0715   
308750        TAJNA               RA 5135N 11828E 0698   
308790        NERCINSKIJ ZAVOD    RA 5119N 11937E 0619   
309110        SANAGA              RA 5044N 10250E 1170   
309150        CAKIR               RA 5025N 10337E 0989   
309160        TOREJ               RA 5031N 10450E 0733   
309240        PETROPAVLOVKA       RA 5038N 10519E 0684   
309250        KJAHTA              RA 5022N 10627E 0801   
309340        BICURA              RA 5036N 10735E 0643   
309350        KRASNYJ CIKOJ       RA 5022N 10845E 0770   
309380        MENZA               RA 4926N 10854E 0940   
309440        CEREMHOVO           RA 5034N 11012E 0885   
309470        SUMILOVKA (MTN STN) RA 5009N 11021E 1155   
309480        GRJAZI              RA 5001N 11111E 1234   
309490        KYRA                RA 4934N 11158E 0908   
309540        DULDURGA            RA 5038N 11335E 0811   
309570        AKSA                RA 5017N 11317E 0734   
309610        OLOVJANNAJA         RA 5057N 11535E 0642   
309640        KUBUHAJ             RA 5030N 11449E 0679   
309650        BORZJA              RA 5023N 11631E 0684   
309670        SOLOV'EVSK          RA 4954N 11545E 0623   
309680        HARANOR             RA 5006N 11640E 0705   
309710        ALEKSANDROVSKIJ ZAV RA 5055N 11756E 0807   
309720        DONO                RA 5053N 11835E 0694   
309750        PRIARGUNSK          RA 5024N 11907E 0517   
309780        KAJLASTUJ           RA 4950N 11823E 0550   
310040        ALDAN               RA 5837N 12522E 0682   
310050        TOMMOT              RA 5857N 12618E 0283   
310110        BUJAGA              RA 5939N 12710E 0278   
310160        UGINO               RA 5840N 12830E 0130   
310410        UST-MIL             RA 5940N 13305E 0179   
310540        UST-JUDOMA          RA 5911N 13509E 0212   
310620        JUGARJONOK          RA 5946N 13743E 0381   
310670        KURUN-URJAKAH       RA 5839N 13713E 0457   
310830        STARY HEJDZAN       RA 5958N 14445E 0121   
310870        ULJA                RA 5848N 14140E 0004   
310880        OHOTSK              RA 5922N 14312E 0006   
310920        TALON               RA 5948N 14850E 0019   
310970        USKI                RA 5911N 14620E 0017   
311230        CJUL'BJU            RA 5746N 13054E 0266   
311370        TOKO                RA 5617N 13108E 0858   
311520        NELKAN              RA 5740N 13609E 0305   
311580        BATOMGA             RA 5639N 13621E 0496   
311680        AJAN                RA 5627N 13809E 0009   
311740        BOLSOJ SANTAR ISL   RA 5450N 13732E 0017   
311990        UNAHA               RA 5502N 12648E 0453   
312350        JANA                RA 5529N 13420E 0318   
312530        BOMNAK              RA 5443N 12856E 0357   
312570        DAMBUKI             RA 5420N 12738E 0272   
312630        LOKSAK              RA 5444N 13027E 0464   
312860        CUMIKAN             RA 5443N 13519E 0005   
312880        TOROM               RA 5407N 13542E 0182   
312950        MAGDAGACI           RA 5327N 12549E 0372   
312990        TYGDA               RA 5306N 12621E 0314   
313000        ZEJA                RA 5345N 12714E 0232   
313110        OGORON              RA 5358N 12904E 0416   
313250        SEVLI               RA 5331N 13255E 0442   
313290 UHBP   EKIMCAN             RA 5304N 13256E 0543   
313310        BOLODEK             RA 5343N 13309E 0280   
313380        SELEMDZA            RA 5308N 13358E 0682   
313460        TUGUR               RA 5351N 13652E 0052   
313480        BURUKAN             RA 5303N 13602E 0154   
313620        ALEKSANDRA          RA 5417N 13947E 0009   
313640        KULCI               RA 5334N 13939E 0128   
313690        NIKOLAEVSK-ON-AMUR  RA 5309N 14042E 0068   
313710        CERNJAEVO           RA 5247N 12600E 0212   
313730        OKTJABR'SKIJ PRIISK RA 5300N 12839E 0330   
313770        MUHINO              RA 5216N 12713E 0326   
313840        GAR                 RA 5235N 12904E 0245   
313880        NORSK               RA 5221N 12955E 0207   
313920        STOJBA              RA 5248N 13143E 0358   
313940        SELEMDZINSKOE       RA 5235N 13108E 0295   
314160        IM POLINY OSIPENKO  RA 5225N 13630E 0073   
314180        VESELAJA GORKA      RA 5217N 13548E 0201   
314210        GUGA                RA 5242N 13732E 0050   
314230        UDINSKOJE           RA 5254N 13852E 0015   
314320        VOSKRESENSKOJE      RA 5252N 14000E 0025   
314360        UARKI               RA 5231N 14112E 0014   
314370        SOMNITELNIJ-PRIISK  RA 5210N 13904E 0220   
314390        BOGORODSKOE         RA 5223N 14028E 0031   
314410        USAKOVO             RA 5154N 12635E 0159   
314420        SIMANOVSKAJA        RA 5159N 12739E 0276   
314430        MAZANOVO            RA 5138N 12849E 0163   
314450        SVDBODNYJ           RA 5127N 12807E 0197   
314590        VERHNJAJA TOM       RA 5121N 13023E 0260   
314690        SREDNIJ URGAL       RA 5110N 13257E 0366   
314740        UST-UMALTA          RA 5138N 13318E 0382   
314780        SOFIJSKIJ PRIISK    RA 5216N 13359E 0898   
314820        DUKI                RA 5143N 13554E 0131   
314840        HULARIN             RA 5125N 13505E 0269   
314890        GORIN               RA 5116N 13635E 0092   
314970        BAKTOR              RA 5108N 13725E 0035   
315020        MARIINSKOJE         RA 5143N 14019E 0020   
315040        SUHANOVKA           RA 5121N 13906E 0063   
315090        DE-KASTRI           RA 5129N 14047E 0035   
315100        BLAGOVESCENSK       RA 5015N 12730E 0137   
315110        SERGEJEVKA          RA 5047N 12718E 0145   
315130        BELOGORSK           RA 5055N 12828E 0178   
315210        BRATOLJUBOVKA       RA 5047N 12920E 0231   
315270        ZAVITAJA            RA 5007N 12928E 0242   
315320        CEKUNDA             RA 5049N 13210E 0273   
315340        SEKTAGLI            RA 5026N 13101E 0231   
315380        SUTUR               RA 5004N 13208E 0349   
315480        VERHOVJE URMI       RA 5001N 13335E 0533   
315500        AMURSK              RA 5016N 13655E 0024   
315610        KOMSOMOLSK-ON-AMUR  RA 5036N 13702E 0019   
315620        NIZNETAMBOVSKOE     RA 5056N 13812E 0060   
315660        SEGZEMA             RA 5020N 13828E 0193   
315730        SIZEMAN             RA 5044N 14026E 0005   
315870        POJARKOVO           RA 4937N 12839E 0117   
315940        ARHARA              RA 4925N 13005E 0135   
316180        BIRA                RA 4901N 13228E 0154   
316240        URMI                RA 4924N 13314E 0198   
316320        KUR                 RA 4956N 13438E 0266   
316360        NERAN               RA 4933N 13444E 0226   
316470        LITOVKO             RA 4917N 13511E 0071   
316550 UHHO   TROICKOE            RA 4927N 13634E 0029   
316610        VERHNI NERGEN       RA 4952N 13646E 0064   
316770        SOLEKUL             RA 4901N 13845E 0894   
316830        TUMNIN              RA 4940N 14007E 0058   
317020        OBLUC'E             RA 4900N 13105E 0257   
