010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
012820 ENRM   RORVIK/RYUM         NO 6451N 01114E 0014   
012823        BECAME STN 012820   NO 6451N 01114E 0014   
012880        ROROS (CITY)        NO 6234N 01123E 0630   
012890 ENRO   ROROS AIRPORT       NO 6235N 01121E 0626   
012900 ENNM   NAMSOS AIRPORT      NO 6428N 01135E 0002   
012920        MERAKER-KROGSTAD    NO 6327N 01142E 0145   
012950        HARRAN              NO 6435N 01232E 0118   
012980        NORDLI-HOLAND       NO 6427N 01343E 0438   
013040        YTTEROYANE (LGT-H)  NO 6134N 00441E 0026   
013060        HELLISOY (LGT-H)    NO 6045N 00443E 0023   
013100 ENFL   FLORO               NO 6135N 00502E 0009   
013110 ENBR   BERGEN/FLESLAND AFB NO 6018N 00513E 0050   
013170        BERGEN/FLORIDA      NO 6023N 00520E 0036   
013190        TAKLE               NO 6102N 00523E 0038   
013200 ENSD   SANDANE/ANDA        NO 6150N 00607E 0060   
013220        FORDE-VIE           NO 6127N 00554E 0012   
013250        MODALEN II          NO 6050N 00557E 0114   
013280        KVAMSKOGEN          NO 6024N 00555E 0408   
013300        OMASTRAND           NO 6013N 00559E 0006   
013360 ENBM   VOSS/BOMOEN         NO 6039N 00630E 0122   
013390        VANGSNES            NO 6110N 00639E 0054   
013410        EIDFJORD-BU         NO 6028N 00652E 0119   
013440        REIMEGREND          NO 6041N 00645E 0560   
013470 ENSG   SOGNDAL/HAUKASEN    NO 6109N 00708E 0497   
013510        FINSE III           NO 6036N 00730E 1224   
013550        LAERDAL-TONJUM      NO 6104N 00731E 0036   
013570        FORTUN              NO 6130N 00742E 0030   
013600        BRATA               NO 6154N 00752E 0711   
013640        GEILO-GEILOSTOLEN   NO 6031N 00813E 0810   
013650        TYNKRYSSET          NO 5816N 00720E 0340   
013670        FAGERNES            NO 6059N 00914E 0365   
013680 ENFG   FAGERNES/LEIRIN   & NO 6100N 00918E 0822   
013700        SKABU-STORSLAEN     NO 6131N 00923E 0865   
013720        NESBYEN-SKOGLUND    NO 6034N 00908E 0167   
013740        VEST-TORPA II       NO 6056N 01002E 0542   
013755 ENGC   GULLFAX (PLATFORM)  NO 6102N 00202E 0010   
