AAB	ABELAG AVIATION	ABG	BELGIUM
AAC	ARMY AIR CORPS	ARMYAIR	UNITED KINGDOM
AAD	MANN AIR LTD (T/A AMBASSADOR)	AMBASSADOR	UNITED KINGDOM
AAE	EXPRESS AIR, INC. (PHOENIX, AZ)	ARIZONA	UNITED STATES
AAF	AIGLE AZUR	AIGLE AZUR	FRANCE
AAG	AIR ATLANTIQUE	ATLANTIC	UNITED KINGDOM
AAH	AEKO KULA, INC D/B/A ALOHA AIR CARGO (HONOLULU, HI)	ALOHA	UNITED STATES
AAI	AIR AURORA, INC. (SUGAR GROVE, IL)	BOREALIS	UNITED STATES
AAJ	ALFA AIRLINES CO., LTD	ALFA SUDAN	SUDAN
AAK	ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)	ALASKA ISLAND	UNITED STATES
AAL	AMERICAN AIRLINES INC.	AMERICAN	UNITED STATES
AAM	AIM AIR	AIM AIR	REPUBLIC OF MOLDOVA
AAN	AMSTERDAM AIRLINES B.V.	AMSTEL	NETHERLANDS
AAP	ARABASCO AIR SERVICES	ARABASCO	SAUDI ARABIA
AAR	ASIANA AIRLINES	ASIANA	REPUBLIC OF KOREA
AAS	ASKARI AVIATION (PVT) LTD	AL-AAS	PAKISTAN
AAV	ASTRO AIR INTERNATIONAL, INC.	ASTRO-PHIL	PHILIPPINES
AAW	AFRICAN AIRLINES CORPORATION	AFRIQIYAH	LIBYA
AAX	ADVANCE AVIATION CO., LTD	ADVANCE AVIATION	THAILAND
AAY	ALLEGIANT AIR, INC. (FRESNO, CA)	ALLEGIANT	UNITED STATES
AAZ	AEOLUS AIR LIMITED	AEOLUS	GAMBIA
ABA	AERO-BETA GMBH & CO., STUTTGART	AEROBETA	GERMANY
ABB	AFRICAN BUSINESS AND TRANSPORTATIONS	AFRICAN BUSINESS	DEMOCRATIC REPUBLIC OF THE CONGO
ABD	AIR ATLANTA ICELANDIC	ATLANTA	ICELAND
ABE	ABAN AIR	ABAN	IRAN (ISLAMIC REPUBLIC OF)
ABF	SCANWINGS OY, FINLAND	SKYWINGS	FINLAND
ABG	ABAKAN-AVIA	ABAKAN-AVIA	RUSSIAN FEDERATION
ABI	ALBA-AIR AVIACION, S.L.	AIRALBACETE	SPAIN
ABK	ALBERTA CITYLINK	ALBERTA CITYLINK	CANADA
ABL	AIR BUSAN	AIR BUSAN	REPUBLIC OF KOREA
ABM	AERO ALBATROS	ALBATROS ESPANA	SPAIN
ABO	AEROEXPRESO BOGOTA	AEROEXPRESO	COLOMBIA
ABP	ABS JETS	BAIR	CZECH REPUBLIC
ABQ	AIRBLUE LIMITED, M/S.	PAKBLUE	PAKISTAN
ABR	AIR CONTRACTORS (IRELAND) LTD	CONTRACT	IRELAND
ABT	AMBEO PLC	AMBITION	UNITED KINGDOM
ABV	ANTRAK AIR GHANA	ANTRAK	GHANA
ABW	AIRBRIDGE CARGO AIRLINES LTD	AIRBRIDGE CARGO	RUSSIAN FEDERATION
ABX	ABX AIR, INC. (WILMINGTON, OH)	ABEX	UNITED STATES
ABY	AIR ARABIA	ARABIA	UNITED ARAB EMIRATES
ABZ	AIR AMBULANCE SERVICES LIMITED	ISLAND LIFEFLIGHT	BAHAMAS
ACA	AIR CANADA	AIR CANADA	CANADA
ACB	AIR CONTINENTAL AFRICA	AIRCONTI	GABON
ACD	ACADEMY AIRLINES (GRIFFIN, GA)	ACADEMY	UNITED STATES
ACF	CENTRO DE FORMACION AERONAUTICA DE CANARIAS	FORCAN	SPAIN
ACI	AIR CALEDONIE INTERNATIONAL	AIRCALIN	FRANCE
ACJ	AC AVIATION CO., LTD	SINOJET	THAILAND
ACK	NANTUCKET AIRLINES (NANTUCKET, MA)	ACK AIR	UNITED STATES
ACL	ITALI AIRLINES S.P.A.	ITALI	ITALY
ACN	AEROLINEAS CENTROAMERICANAS, S.A. (CENTRAL AMERICAN AIRLINES)	AEROCENTRO	NICARAGUA
ACO	AERO COMONDU, S.A. DE C.V.	AERO COMONDU	MEXICO
ACP	ASTRAL AVIATION LIMITED	ASTRAL CARGO	KENYA
ACQ	ARYAN CARGO EXPRESS	ACE CARGO	INDIA
ACR	AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION	AEROCENTER	SPAIN
ACS	AIRCRAFT SALES AND SERVICES (PVT) LTD	AIRCRAFT SALES	PAKISTAN
